tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
4901,1711,84,1627,1270,964,9,955,896,438,16,422,139,0,0,0,0,45,0,45,41,0,0,0,0,67,25,42,42,39,0,39,39,158,34,124,113
4902,1558,30,1528,1149,908,0,908,820,219,0,219,110,0,0,0,0,168,0,168,116,0,0,0,0,34,15,19,0,74,0,74,46,155,15,140,57
5001,1172,93,1079,1014,868,12,856,824,166,69,97,68,0,0,0,0,37,0,37,33,0,0,0,0,21,0,21,21,22,0,22,22,58,12,46,46
5003,983,6,977,904,652,0,652,639,66,6,60,0,0,0,0,0,38,0,38,38,0,0,0,0,0,0,0,0,52,0,52,52,175,0,175,175
5004,1905,367,1538,1293,746,27,719,697,624,248,376,153,0,0,0,0,144,14,130,130,0,0,0,0,65,0,65,65,61,0,61,61,265,78,187,187
5202,1589,0,1589,1339,1323,0,1323,1169,106,0,106,10,0,0,0,0,26,0,26,26,0,0,0,0,0,0,0,0,21,0,21,21,113,0,113,113
5203,1111,0,1111,962,691,0,691,650,230,0,230,165,47,0,47,47,24,0,24,24,0,0,0,0,12,0,12,12,67,0,67,24,40,0,40,40
5302,1396,0,1396,1272,922,0,922,891,13,0,13,13,0,0,0,0,161,0,161,95,0,0,0,0,103,0,103,103,27,0,27,27,170,0,170,143
5303,1159,0,1159,1062,871,0,871,840,45,0,45,0,0,0,0,0,139,0,139,139,0,0,0,0,0,0,0,0,41,0,41,41,63,0,63,42
5501,1093,0,1093,991,827,0,827,749,15,0,15,15,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,45,0,45,45,182,0,182,182
5502,1209,22,1187,926,821,0,821,785,117,22,95,16,0,0,0,0,27,0,27,27,0,0,0,0,49,0,49,49,72,0,72,0,123,0,123,49
5503,840,0,840,840,565,0,565,565,76,0,76,76,0,0,0,0,159,0,159,159,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,40
5601,932,0,932,817,717,0,717,602,0,0,0,0,0,0,0,0,141,0,141,141,0,0,0,0,1,0,1,1,14,0,14,14,59,0,59,59
5602,1148,0,1148,1053,712,0,712,672,86,0,86,75,13,0,13,0,172,0,172,152,0,0,0,0,40,0,40,40,22,0,22,22,103,0,103,92
5801,758,27,731,675,553,0,553,544,16,5,11,0,0,0,0,0,101,22,79,43,0,0,0,0,0,0,0,0,18,0,18,18,70,0,70,70
5802,1022,0,1022,858,688,0,688,611,77,0,77,57,0,0,0,0,92,0,92,92,0,0,0,0,0,0,0,0,68,0,68,68,97,0,97,30
5900,1112,108,1004,817,731,11,720,638,232,97,135,42,0,0,0,0,47,0,47,35,0,0,0,0,9,0,9,9,7,0,7,7,86,0,86,86
6400,781,187,594,389,240,0,240,228,498,178,320,161,0,0,0,0,22,9,13,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0
6500,1167,0,1167,1048,849,0,849,769,98,0,98,67,0,0,0,0,16,0,16,16,0,0,0,0,71,0,71,71,27,0,27,27,106,0,106,98
6600,815,0,815,752,727,0,727,687,25,0,25,14,0,0,0,0,23,0,23,23,0,0,0,0,0,0,0,0,8,0,8,8,32,0,32,20
