"tract","offense","lat","long","female_pop","male_pop","total_pop","white","black","aian","asian","nhpi","other","multi","hisp"
102,"BURGLARY","38.9092965011","-77.0600235987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9052068897","-77.0596742862",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9109003682","-77.0592755012",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9152289174","-77.0675004574",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9052068897","-77.0596742862",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9115500199","-77.0571660398",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"ASSAULT W/DANGEROUS WEAPON","38.9038919404","-77.0591428602",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9076478735","-77.0602182116",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9025499807","-77.0585768458",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9109709309","-77.062169582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9025842716","-77.0619547575",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9052068897","-77.0596742862",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9025842716","-77.0619547575",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9056490834","-77.0581182265",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9084676208","-77.0602419628",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9060727383","-77.0575882295",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9072138708","-77.0632500673",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.906800087","-77.0621313588",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9129350658","-77.0615717192",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"ROBBERY","38.9098811724","-77.0616959106",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9056395426","-77.0591788965",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9142112943","-77.0669460306",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9025842716","-77.0619547575",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
