tract,total,total_no,total_hs,total_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
010500,1699,181,1518,1265,920,19,901,872,463,149,314,140,0,0,0,0,103,0,103,103,8,0,8,8,19,0,19,19,73,13,60,35,113,0,113,88
010601,802,109,693,464,256,0,256,204,300,109,191,71,0,0,0,0,54,0,54,54,0,0,0,0,68,0,68,11,82,0,82,82,42,0,42,42
010602,2282,113,2169,1777,1172,0,1172,1166,675,92,583,220,0,0,0,0,275,0,275,252,0,0,0,0,0,0,0,0,91,21,70,70,69,0,69,69
010603,942,20,922,871,708,0,708,685,122,20,102,97,0,0,0,0,15,0,15,15,0,0,0,0,0,0,0,0,36,0,36,36,61,0,61,38
010700,826,0,826,747,644,0,644,573,42,0,42,36,0,0,0,0,30,0,30,30,0,0,0,0,21,0,21,21,2,0,2,0,87,0,87,87
010800,380,16,364,310,149,0,149,134,13,6,7,7,19,0,19,0,124,10,114,105,0,0,0,0,18,0,18,18,29,0,29,21,28,0,28,25
010900,1011,111,900,173,0,0,0,0,966,111,855,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,14,9,0,9,0
011001,1475,111,1364,1100,813,16,797,722,352,49,303,198,0,0,0,0,29,0,29,29,0,0,0,0,0,0,0,0,64,46,18,0,217,0,217,151
011002,1035,19,1016,745,705,19,686,469,203,0,203,149,0,0,0,0,16,0,16,16,0,0,0,0,14,0,14,14,83,0,83,83,14,0,14,14
011100,2251,231,2020,1077,308,25,283,168,1338,151,1187,520,0,0,0,0,72,21,51,31,0,0,0,0,27,0,27,0,153,0,153,140,353,34,319,218
980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
